pol_id,name,nickname,suffix,party
9,Doug Ose,,,Rep
21,George Miller,,I,Dem
24,Nancy D'Alesandro Pelosi,,,Dem
28,Barbara Jean Lee,,,Dem
43,Anna Georges Eshoo,,,Dem
49,Zoe Lofgren,,,Dem
52,Sam Sharon Farr,,,Dem
67,Devin G. Nunes,,,Rep
72,Lois Capps,,,Dem
79,Howard Philip McKeon,Buck,,Rep
81,Michael D. Crapo,Mike,,Rep
84,Brad Sherman,,,Dem
89,Adam Bennett Schiff,,,Dem
92,Henry Arnold Waxman,,,Dem
94,Xavier Becerra,,,Dem
102,Lucille Roybal-Allard,,,Dem
104,Maxine Waters,,,Dem
113,Grace Flores Napolitano,,,Dem
116,Linda T. Sanchez,,,Dem
126,Gary Gene Miller,,,Rep
132,Ken Calvert,,,Rep
138,Dana Tyrone Rohrabacher,,,Rep
140,Loretta Sanchez,,,Dem
146,Darrell Edward Issa,,,Rep
157,Susan Carol Alpert Davis,,,Dem
189,Timothy Peter Johnson,Tim,,Dem
202,Wayne Edward Whitfield,Ed,,Rep
208,Harold Rogers,Hal,,Rep
210,Addison Mitchell McConnell,Mitch,,Rep
212,Roger F. Wicker,,,Rep
231,Lee Raymond Terry,,,Rep
237,Robert A. Brady,Bob,,Dem
239,Chaka Fattah,,,Dem
244,James Gerlach,Jim,,Rep
249,William Shuster,Bill,,Rep
252,Louis J. Barletta,Lou,,Rep
255,Michael F. Doyle,Mike,,Dem
257,Patrick Joseph Toomey,Pat,,Rep
258,Joseph R. Pitts,Joe,,Rep
261,Timothy F. Murphy,Tim,,Rep
270,Sam Johnson,,,Rep
273,Ralph Moody Hall,,,Rep
277,Jeb Hensarling,,,Rep
281,Joe Linus Barton,,,Rep
284,John Abney Culberson,,,Rep
287,Kevin Patrick Brady,,,Rep
292,Lloyd Doggett,,,Dem
296,Kay Granger,,,Rep
299,William Thornberry,Mac,,Rep
304,Ruben E. Hinojosa,,,Dem
312,Sheila Jackson Lee,,,Dem
321,Lamar S. Smith,,,Rep
327,Henry Roberto Cuellar,,,Dem
348,Gene Green,,,Dem
350,Eddie Bernice Johnson,,,Dem
358,Peter Anderson Sessions,Pete,,Rep
362,James Richard Perry,Rick,,Rep
367,John Cornyn,,,Rep
369,Robert Ernest Andrews,Rob,,Dem
371,Frank A. LoBiondo,,,Rep
375,Frank J. Pallone,,Jr.,Dem
378,William J. Pascrell,Bill,Jr.,Dem
382,Donald Milford Payne,,Jr.,Dem
384,Rodney P. Frelinghuysen,,,Rep
385,Rush Dew Holt,,Jr.,Dem
386,Robert Menendez,Bob,,Dem
391,Steve Chabot,,,Rep
393,Robert Jones Portman,Rob,,Rep
405,Marcy Carolyn Kaptur,,,Dem
411,Patrick Joseph Tiberi,Pat,,Rep
422,Peter John Visclosky,Pete,,Dem
431,Michael Richard Pence,Mike,,Rep
437,John Davison Rockefeller,Jay,IV,Dem
441,Shelley Moore Capito,,,Rep
442,Nick Joe Rahall,,I,Dem
445,Mike O. Johanns,,,Rep
450,David E. Price,,,Dem
452,Richard M. Burr,,,Rep
453,John Howard Coble,,,Rep
481,Greg Walden,,,Rep
482,Earl Blumenauer,,,Dem
484,Peter A. DeFazio,,,Dem
501,Clement Leroy Otter,Butch,,Rep
504,Michael Keith Simpson,Mike,,Rep
508,Michael Bradley Enzi,Mike,,Rep
513,Donald Edwin Young,Don,,Rep
523,Robert Brown Aderholt,,,Rep
526,Spencer Thomas Bachus,,I,Rep
528,Thomas Richard Harkin,Tom,,Dem
537,Thomas Paul Latham,Tom,,Rep
539,Steve King,,,Rep
540,Mike Fellows,,,Oth
556,Ernest Scott Garrett,,,Rep
577,Thomas Stewart Udall,Tom,,Dem
579,John Randolph Thune,,,Rep
580,Marion Michael Rounds,Mike,,Rep
585,Michael Herman Michaud,Mike,,Dem
600,Marshall Clement Sanford,Mark,Jr.,Rep
618,Robert William Bishop,Rob,,Rep
620,James David Matheson,Jim,,Dem
665,John James Duncan,Jimmy,Jr.,Rep
676,James Hayes Shofner Cooper,Jim,,Dem
682,Marsha Wedgeworth Blackburn,,,Rep
690,William Thad Cochran,,,Rep
692,Gerald W. Moran,Jerry,,Rep
711,James Randy Forbes,,,Rep
714,Robert William Goodlatte,Bob,,Rep
715,Eric Ivan Cantor,,,Rep
719,Frank R. Wolf,,,Rep
734,Diana L. DeGette,,,Dem
754,Robert L. Beauprez,Bob,,Rep
768,Carl Milton Levin,,,Dem
788,Frederick Stephen Upton,Fred,,Rep
802,Sander Martin Levin,Sandy,,Dem
806,John Conyers,,Jr.,Dem
809,John David Dingell,,Jr.,Dem
